generazione,dna,tempo,accuracy,fitness
1,"[3, 29, 2, 72]",309.36516404151917,0.7347000241279602,0.29500440021520236
1,"[4, 10, 1, 154]",214.42545199394226,0.7127000093460083,0.3057123683222805
1,"[10, 30, 1, 176]",436.65039682388306,0.7896000146865845,0.29907575024721217
1,"[8, 20, 2, 102]",363.8600609302521,0.7648000121116638,0.29864100217638934
1,"[7, 25, 2, 183]",392.2168321609497,0.8004999756813049,0.30865312528544747
1,"[9, 31, 4, 231]",561.1328601837158,0.7555000185966492,0.27482064836377124
1,"[6, 12, 3, 107]",348.36666107177734,0.6877999901771545,0.27057045282237335
1,"[7, 21, 3, 86]",428.25595211982727,0.7411999702453613,0.2816426684213049
1,"[9, 8, 5, 64]",450.09264087677,0.5199999809265137,0.1959822131586446
1,"[7, 14, 2, 73]",344.43741488456726,0.7396000027656555,0.2915127484325607
1,"[3, 19, 2, 265]",336.4996371269226,0.7078999876976013,0.28013624920145924
1,"[3, 13, 4, 231]",365.69775009155273,0.6969000101089478,0.27189495142760317
1,"[8, 18, 5, 230]",529.2817661762238,0.6948999762535095,0.25513210343602605
1,"[5, 21, 3, 64]",416.31499099731445,0.7397000193595886,0.2823905446916038
1,"[3, 30, 1, 280]",341.413049697876,0.6310999989509583,0.24912365384493892
1,"[6, 21, 1, 316]",344.40337204933167,0.7585999965667725,0.29900663974059716
1,"[7, 23, 3, 83]",476.08809185028076,0.7548999786376953,0.28192237881214655
1,"[10, 14, 3, 130]",459.35708713531494,0.6276999711990356,0.23578681587447356
1,"[8, 26, 2, 132]",461.5766222476959,0.7985000014305115,0.29970980884467774
1,"[10, 31, 3, 274]",611.5454580783844,0.7009000182151794,0.2515406214727189
2,"[7, 23, 1, 154]",388.72101306915283,0.8026999831199646,0.30996609470991676
2,"[3, 21, 3, 64]",391.4225687980652,0.6863999962806702,0.2647488444672894
2,"[3, 24, 2, 265]",384.4692029953003,0.7297999858856201,0.2823361985478509
2,"[5, 12, 3, 107]",376.1162312030792,0.7181000113487244,0.27883891421779294
2,"[10, 14, 3, 86]",479.69525504112244,0.6223999857902527,0.23215517087242185
2,"[7, 21, 2, 316]",438.39972591400146,0.7427999973297119,0.28116444802459917
2,"[8, 29, 2, 72]",520.8657109737396,0.7991999983787537,0.2941776485774121
2,"[8, 21, 3, 64]",526.8730599880219,0.7235000133514404,0.26582592508274844
2,"[8, 10, 1, 154]",374.08259773254395,0.7289000153541565,0.28329157435443414
2,"[3, 30, 1, 64]",405.0059311389923,0.7537999749183655,0.2890934376788325
2,"[7, 23, 3, 83]",593.3756449222565,0.7786999940872192,0.28078161402323915
2,"[6, 21, 2, 72]",538.212112903595,0.7383999824523926,0.2703817517172684
2,"[10, 19, 2, 265]",622.9015648365021,0.7184000015258789,0.25708381350922394
2,"[6, 23, 3, 83]",627.3838729858398,0.7692000269889832,0.2749565172278503
2,"[8, 26, 2, 183]",604.0241231918335,0.8047999739646912,0.28938664689652077
2,"[10, 14, 2, 72]",558.0086381435394,0.6872000098228455,0.25019652344011556
2,"[3, 19, 2, 72]",513.4747459888458,0.7289000153541565,0.2689152857779161
2,"[7, 25, 2, 73]",658.7725160121918,0.7947999835014343,0.2819704052988772
2,"[9, 14, 3, 316]",556.109757900238,0.7264000177383423,0.26461112696840233
